WP,LAT,LON
1,37.02229110771151,-8.999862670898438
2,37.04038016980843,-9.196243286132812
3,36.94550173495345,-9.172210693359375
4,36.85874638670163,-9.073333740234375
5,36.836217807706035,-8.955917358398438
6,36.98884240937,-8.949737548828125
