lat,lon
29.55223880597015,-88.0
29.285714285714285,-87.73333333333333
29.01918976545842,-87.46666666666665
28.752665245202564,-87.2
28.4861407249467,-86.93333333333332
28.219616204690837,-86.66666666666667
27.953091684434973,-86.39999999999999
27.68656716417911,-86.13333333333334
27.42004264392324,-85.86666666666666
27.153518123667375,-85.6
26.88699360341151,-85.33333333333334
26.620469083155648,-85.06666666666666
26.353944562899784,-84.80000000000001
26.08742004264392,-84.53333333333333
25.820895522388057,-84.26666666666668
25.554371002132193,-84.0
25.421108742004265,-83.6
25.1545842217484,-83.33333333333333
24.888059701492537,-83.06666666666666
24.7547974413646,-82.66666666666667
24.35501066098081,-82.53333333333333
24.221748400852874,-82.13333333333334
24.221748400852874,-81.73333333333333
24.221748400852874,-81.33333333333333
24.35501066098081,-80.93333333333332
24.621535181236673,-80.66666666666667
24.888059701492537,-80.39999999999999
25.1545842217484,-80.13333333333334
25.554371002132193,-80.0
25.954157782515992,-79.86666666666667
26.353944562899784,-79.73333333333333
26.753731343283583,-79.73333333333333
27.153518123667375,-79.73333333333333
27.553304904051174,-79.86666666666667
27.953091684434973,-79.86666666666667
28.352878464818765,-79.86666666666667
28.752665245202564,-79.86666666666667
29.15245202558635,-79.86666666666667
29.55223880597015,-79.86666666666667
29.95202558635394,-79.73333333333333
30.35181236673774,-79.6
30.75159914712153,-79.46666666666667
31.15138592750533,-79.33333333333334
31.417910447761194,-79.06666666666666
31.684434968017058,-78.80000000000001
31.95095948827292,-78.53333333333333
32.217484008528785,-78.26666666666665
32.35074626865672,-77.86666666666667
32.617270788912585,-77.6
32.88379530916845,-77.33333333333333
33.150319829424305,-77.06666666666666
33.416844349680176,-76.8
33.68336886993603,-76.53333333333335
33.9498933901919,-76.26666666666667
34.21641791044776,-76.00000000000001
34.48294243070363,-75.73333333333333
34.74946695095949,-75.46666666666665
35.01599147121535,-75.2
35.282515991471215,-74.93333333333332
35.54904051172708,-74.66666666666667
35.81556503198294,-74.4
36.215351812366734,-74.26666666666667
36.481876332622605,-74.0
36.8816631130064,-73.86666666666667
37.28144989339019,-73.73333333333335
37.68123667377398,-73.6
38.08102345415779,-73.46666666666667
38.48081023454158,-73.46666666666667
38.88059701492537,-73.46666666666667
39.28038379530917,-73.33333333333334
39.68017057569297,-73.19999999999999
40.07995735607676,-73.06666666666666
